SMILES,active_label
CC(C)C(NC(=O)C1=CC(Cl)=CC=C1C(F)(F)F)C(=O)C1=CC=C(C=C1)C#N,0
CC(C)C(NC(=O)C1=CC(Cl)=CC=C1C(F)(F)F)C(=O)C1=CC=C(C=C1)[N+]([O-])=O,0
CC(C)C(NC(=O)C1=CC=CC=C1)C(=O)C1=CC=C(F)C=C1,0
CC(C)NC(=O)N[C@@H]1C[C@]2(C)O[C@]1(C)[C@H]1[C@@H]2C(=O)N(C1=O)C1=CC=C(C#N)C(=C1)C(F)(F)F,0
CC(O)(COC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F,0
CC(O)(CS(=O)(=O)C1=CC=CC=C1OC(F)(F)F)C(=O)NC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,1
CC1(C)N(C(=S)N(C1=O)C1=CC=C(C=C1C(F)(F)F)[N+]([O-])=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,0
CC1(C)CC2=C3NC(NC4=C(Cl)C=CC=C4Cl)=NC3=CC(C(=O)NC3=CC=C(C=C3)C(F)(F)F)=C2O1,0
CC1(C)CC2=C3NC(NC4=C(F)C=CC=C4Cl)=NC3=CC(C(=O)NC3=CC=C(C=C3F)C(F)(F)F)=C2O1,0
CC1(C)CC2=C3NC(NC4=C(F)C=CC=C4Cl)=NC3=CC(C(=O)NC3=CC=CC=C3C(F)(F)F)=C2O1,0
CC1(C)OC2=CC(=CC=C2C2=C1N=C(N2)C1=C(F)C=CC=C1Cl)C1=CC=CC(OC(F)(F)F)=C1,0
CC1(C)OC2=CC(=CC=C2C2=C1N=C(N2)C1=C(F)C=CC=C1Cl)C#CC1=CC(Cl)=CC=C1F,0
CCC(=O)N[C@@H]1C[C@]2(C)O[C@]1(C)[C@H]1[C@@H]2C(=O)N(C1=O)C1=CC=C(C#N)C(=C1)C(F)(F)F,0
CCC(CC)CC1(O)CCN(CC1)C(=O)NC1=CC(F)=CC(=C1)C(F)(F)F,0
CCC(CC)CC1(O)CCN(CC1)C1=NC2=C(F)C=C(C=C2N1)C(F)(F)F,0
